status,name,city,country,address,email,phone,website,league
"EMAIL READY","BLOODsports","London","GB","27-29 Endell Street, WC2H 9BA","howdy@bloodsports.co","02034757589","https://bloodsports.co/","premier-league"
"EMAIL READY","The Oxnoble","Manchester","GB","Liverpool Road","hello@theoxnoble.pub","0161 718 0206","https://theoxnoble.pub","premier-league"
"EMAIL READY","Arena Piola","Milan","IT","Via Filippino Lippi, 7","info@arenapiola.it","+390227016731","https://www.arenapiola.it","serie-a"
"EMAIL READY","Alexandra Clapham","London","GB","14 Clapham Common South Side, SW4 7AA","5751@greeneking.co.uk","","http://www.alexandraclapham.com/","premier-league"
"EMAIL READY","Beehive","London","GB","Stoneleigh Road, N17 9BQ","info@beehiven17.com","","http://beehiven17.com/","premier-league"
"EMAIL READY","Brigadiers","London","GB","1-5 Bloomberg Arcade, EC4N 8AR","info@brigadierslondon.com","","https://brigadierslondon.com/","premier-league"
"EMAIL READY","Chequers Walthamstow","London","GB","145 High Street, E17 7BX","info@chequerse17.com","","http://chequerse17.com/","premier-league"
"EMAIL READY","Duke of Edinburgh Brixton","London","GB","204 Ferndale Road, SW9 8AG","info@dukeofedinburghpub.com","","http://dukeofedinburghpub.com/","premier-league"
"EMAIL READY","Famous Three Kings","London","GB","171 North End Road, W14 9NL","bookings@famousthreekings.co.uk","","https://famousthreekings.co.uk/","premier-league"
"EMAIL READY","Frankie's Sports Bar & Grill","London","GB","Fulham Road, SW6 1HS","info@frankiessportsbar.com","","https://frankiessportsbar.com/","premier-league"
"EMAIL READY","Greenwood","London","GB","170 Victoria Street, SW1E 5LB","info@greenwoodlondon.com","","https://www.greenwoodlondon.com/","premier-league"
"EMAIL READY","Hemingford Arms","London","GB","158 Hemingford Road, N1 1DF","5762@greeneking.co.uk","","http://www.hemingfordarms.com/","premier-league"
"EMAIL READY","Nordic Bar","London","GB","25 Newman Street, W1T 1PN","info@nordicbar.com","","https://nordicbar.com/","premier-league"
"EMAIL READY","Pavilion End","London","GB","23 Watling Street, EC4M 9BR","pavilionend.events@fullers.co.uk","","https://www.pavilionendpub.co.uk/","premier-league"
"EMAIL READY","Porterhouse Covent Garden","London","GB","21-22 Maiden Lane, WC2E 7NA","enquiries@porterhouse.london","","https://www.porterhouse.london/","premier-league"
"EMAIL READY","Pub on the Park","London","GB","19 Martello Street, E8 3PE","bookings@rosepubs.com","","http://pubonthepark.com/","premier-league"
"EMAIL READY","Redwood London Bridge","London","GB","London Bridge Station, SE1 9SP","info@redwoodsportspub.com","","https://www.sportlondon.com/redwood","premier-league"
"EMAIL READY","Temperance Fulham","London","GB","90 Fulham High Street, SW6 3LF","temperance.putney@stonegategroup.co.uk","","https://www.socialpubandkitchen.co.uk/temperance-fulham","premier-league"
"EMAIL READY","The Actress","London","GB","90 Crystal Palace Road, SE22 9EY","5750@greeneking.co.uk","","https://www.theactresseastdulwich.com/","premier-league"
"EMAIL READY","The Elgin","London","GB","96 Ladbroke Grove, W11 1PY","elgin@youngs.co.uk","","https://www.theelginnottinghill.co.uk/","premier-league"
"EMAIL READY","The Wandle","London","GB","332 Garratt Lane, SW18 4EJ","5779@greeneking.co.uk","","http://www.wandleearlsfield.com/","premier-league"
"EMAIL READY","Three Compasses Dalston","London","GB","99 Dalston Lane, E8 1NH","info@3compasses.com","","http://www.3compasses.com/","premier-league"
"EMAIL READY","Westwood Sports Pub & Kitchen","London","GB","Ariel Way, W12 7HB","info@westwoodsportspub.com","","https://www.sportlondon.com/westwood","premier-league"
"EMAIL READY","World's End Finsbury Park","London","GB","21-23 Stroud Green Road, N4 3EF","5781@greeneking.co.uk","","http://www.worldsendfinsburypark.com/","premier-league"
"EMAIL READY","87 Millas Sport Bar","Madrid","ES","Calle de Galileo, 75","percycordova12@gmail.com","","https://www.87millassportbar.com/","la-liga"
"EMAIL READY","Bar Soccer","Madrid","ES","Calle de Caleruega, 1","info@soccerbar.es","","https://www.soccerbar.es/","la-liga"
"EMAIL READY","Bareto Madrid","Madrid","ES","Madrid","info@baretomadrid.com","","https://www.baretomadrid.com/","la-liga"
"EMAIL READY","Fratina Sport Bar","Madrid","ES","Calle de Guzman el Bueno, 56","info@fratina.com","","https://www.fratina.com/","la-liga"
"EMAIL READY","James Joyce Irish Pub","Madrid","ES","Calle de Alcala, 59","info@jamesjoycemadrid.com","","https://www.jamesjoycemadrid.com/","la-liga"
