name,city,country,address,email,phone,website,instagram,facebook,fit_score,shows_live_sport,sport_signals
"BLOODsports","London","GB","27-29 Endell Street, WC2H 9BA","howdy@bloodsports.co","02034757589","https://bloodsports.co/","https://www.instagram.com/bloodsports.bar","","70","true","premier league | matchday | screens"
"Pavilion End","London","GB","23 Watling Street, EC4M 9BR","pavilionend.events@fullers.co.uk","","https://www.pavilionendpub.co.uk/","","","70","true","live sport | big screen | tnt sports"
"Nordic Bar","London","GB","25 Newman Street, W1T 1PN","info@nordicbar.com","","https://nordicbar.com/","https://www.instagram.com/thenordicbar","https://www.facebook.com/the.nordicbar","70","true","live sport | premier league | screens"
"Hemingford Arms","London","GB","158 Hemingford Road, N1 1DF","5762@greeneking.co.uk","","http://www.hemingfordarms.com/","https://www.instagram.com/hemingfordarms","https://www.facebook.com/141489949249238","70","true","live sport | sky sports | tnt sports"
"World's End Finsbury Park","London","GB","21-23 Stroud Green Road, N4 3EF","5781@greeneking.co.uk","","http://www.worldsendfinsburypark.com/","https://www.instagram.com/worldsendfinsburypark","https://www.facebook.com/6432994892","70","true","live sport | big screen | sky sports | tnt sports | screens"
"Brigadiers","London","GB","1-5 Bloomberg Arcade, EC4N 8AR","info@brigadierslondon.com","","https://brigadierslondon.com/","https://www.instagram.com/brigadiersldn","https://www.facebook.com/brigadiersldn","70","true","live sport | premier league | match day | screens"
"The Actress","London","GB","90 Crystal Palace Road, SE22 9EY","5750@greeneking.co.uk","","https://www.theactresseastdulwich.com/","https://www.instagram.com/theactresspub","https://www.facebook.com/149943388395164","70","true","live sport | sky sports | tnt sports"
"Alexandra Clapham","London","GB","14 Clapham Common South Side, SW4 7AA","5751@greeneking.co.uk","","http://www.alexandraclapham.com/","https://www.instagram.com/thealexclapham","https://www.facebook.com/199374480076838","70","true","live sport | sky sports | tnt sports"
"Duke of Edinburgh Brixton","London","GB","204 Ferndale Road, SW9 8AG","info@dukeofedinburghpub.com","1325004532923776","http://dukeofedinburghpub.com/","https://www.instagram.com/dukebrixton","https://www.facebook.com/dukesw9","70","true","live sport | big screen | sky sports | screens"
"Three Compasses Dalston","London","GB","99 Dalston Lane, E8 1NH","info@3compasses.com","","http://www.3compasses.com/","http://instagram.com/3compassese8","http://www.facebook.com/2008","70","true","premier league | sky sports | screens | pub quiz"
"Famous Three Kings","London","GB","171 North End Road, W14 9NL","bookings@famousthreekings.co.uk","","https://famousthreekings.co.uk/","https://www.instagram.com/famousthreekings","","70","true","live sport | sky sports | tnt sports | screens"
"Frankie's Sports Bar & Grill","London","GB","Fulham Road, SW6 1HS","info@frankiessportsbar.com","","https://frankiessportsbar.com/","https://www.instagram.com/frankiessports","https://www.facebook.com/frankiessportsbaranddiner","70","true","big screen | matchday | screens"
"The Wandle","London","GB","332 Garratt Lane, SW18 4EJ","5779@greeneking.co.uk","","http://www.wandleearlsfield.com/","https://www.instagram.com/thewandlepub","https://www.facebook.com/156421881081667","70","true","live sport | sky sports | tnt sports | pub quiz"
"The Sporting Page","London","GB","6 Camera Place, SW10 0BH","user@domain.com","1754559107993","https://www.thesportingpage.co.uk/","https://www.instagram.com/thesportingpage","http://www.facebook.com/2008","70","true","live sport | premier league | sky sports | tnt sports | screens"
"Chequers Walthamstow","London","GB","145 High Street, E17 7BX","info@chequerse17.com","","http://chequerse17.com/","https://www.instagram.com/chequerse17","https://www.facebook.com/chequerse17","70","true","live sport | big screen | sky sports | screens"
"Temperance Fulham","London","GB","90 Fulham High Street, SW6 3LF","temperance.putney@stonegategroup.co.uk","","https://www.socialpubandkitchen.co.uk/temperance-fulham","https://www.instagram.com/https","https://www.facebook.com/TemperancePub","70","true","live sport | premier league | champions league | match day | sky sports | tnt sports | screens"
"James Joyce Irish Pub","Madrid","ES","Calle de Alcala, 59","info@jamesjoycemadrid.com","","https://www.jamesjoycemadrid.com/","https://www.instagram.com/jamesjoycemadrid","https://www.facebook.com/jamesjoycepubmadrid","70","true","live sport | premier league | big screen | match day | screens"
"O'Sullivans Clichy","Paris","FR","92 boulevard de Clichy, 75018","cergy@osullivans-pubs.com","","https://www.osullivans-pubs.com/","","","70","true","ligue 1 | écran géant | quiz night | pub quiz"
"Greenwood","London","GB","170 Victoria Street, SW1E 5LB","info@greenwoodlondon.com","","https://www.greenwoodlondon.com/","","","55","true","live sport"
"Porterhouse Covent Garden","London","GB","21-22 Maiden Lane, WC2E 7NA","enquiries@porterhouse.london","","https://www.porterhouse.london/","https://www.instagram.com/porterhouselondon","https://www.facebook.com/porterhouselondon","55","true","premier league | screens"
"Beehive","London","GB","Stoneleigh Road, N17 9BQ","info@beehiven17.com","","http://beehiven17.com/","http://instagram.com/beehiven17","http://facebook.com/thebeehivepub","55","true","matchday | screens"
"The Elgin","London","GB","96 Ladbroke Grove, W11 1PY","elgin@youngs.co.uk","","https://www.theelginnottinghill.co.uk/","https://www.instagram.com/theelginw11","https://facebook.com/TheElgin","55","true","live sport | match day"
"Westwood Sports Pub & Kitchen","London","GB","Ariel Way, W12 7HB","info@westwoodsportspub.com","","https://www.sportlondon.com/westwood","","","55","true","live sport"
"Redwood London Bridge","London","GB","London Bridge Station, SE1 9SP","info@redwoodsportspub.com","","https://www.sportlondon.com/redwood","","","55","true","live sport"
"Fratina Sport Bar","Madrid","ES","Calle de Guzman el Bueno, 56","info@fratina.com","","https://www.fratina.com/","https://www.instagram.com/fratinabar","https://www.facebook.com/profile.php","55","true","screens"
"Cafe Oz Denfert-Rochereau","Paris","FR","3 place Denfert-Rochereau, 75014","bordeaux@cafe-oz.com","","https://www.cafe-oz.com/","","https://www.facebook.com/cafe.oz.groupe","55","true","premier league"
"Pub on the Park","London","GB","19 Martello Street, E8 3PE","bookings@rosepubs.com","","http://pubonthepark.com/","https://www.instagram.com/pubonthepark","https://www.facebook.com/PubOnThePark","35","false",""
"87 Millas Sport Bar","Madrid","ES","Calle de Galileo, 75","percycordova12@gmail.com","","https://www.87millassportbar.com/","https://www.instagram.com/87millas_sportbar","https://www.facebook.com/87millassportbar","35","false",""
"Bar Soccer","Madrid","ES","Calle de Caleruega, 1","info@soccerbar.es","","https://www.soccerbar.es/","","","35","false",""
"Bareto Madrid","Madrid","ES","Madrid","info@baretomadrid.com","","https://www.baretomadrid.com/","https://www.instagram.com/bareto.madrid","","35","false",""
"BrewDog Doghouse Manchester","Manchester","GB","Fountain Street","info@stagheaddesigns.com","","https://www.brewdog.com/","","","35","false",""
"Feed the Yak","London","GB","2 Sayer Street, SE17 1FG","","","https://www.feedtheyak.com/","https://www.instagram.com/feedtheyakbeer","https://www.facebook.com/FeedtheYakLondon","70","true","premier league | big screen | screens"
"Sports Bar & Grill Marylebone","London","GB","Marylebone","","639223446546414584","https://www.sportsbarandgrill.co.uk/","https://www.instagram.com/SocialPubAndKitchen_","https://www.facebook.com/SocialPubAndKitchen","70","true","live sport | premier league | champions league | screens"
